idx,repeat,params_sigma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
4,1,1.0,1.2803750696490208,0.9931440088569368,0.9523809523809524,1.0,0.0909090909090909,0.9090909090909092,1.0,0.956,22,1,0.0163261890411376
4,6,1.0,1.153933636095517,0.9937813384045046,0.9523809523809524,1.0,0.0909090909090909,0.9090909090909092,1.0,0.956,22,6,0.0154988765716552
4,7,1.0,1.94822188168344,0.9925050462738456,0.9523809523809524,1.0,0.0909090909090909,0.9090909090909092,1.0,0.956,22,7,0.0151469707489013
4,8,1.0,1.6504614282677246,0.9900475757095316,0.9523809523809524,1.0,0.0909090909090909,0.9090909090909092,1.0,0.956,22,8,0.0149550437927246
4,10,1.0,1.4875143172993732,0.987275536182942,0.9523809523809524,1.0,0.0909090909090909,0.9090909090909092,1.0,0.956,22,10,0.0155506134033203
4,13,1.0,1.6941550934270782,0.9925980639312242,0.9523809523809524,1.0,0.0909090909090909,0.9090909090909092,1.0,0.956,22,13,0.0153357982635498
4,15,1.0,2.2871529446203214,0.9857250649513708,0.9523809523809524,1.0,0.0909090909090909,0.9090909090909092,1.0,0.956,22,15,0.0178673267364501
4,16,1.0,2.017301630345256,0.992004507443946,0.9523809523809524,1.0,0.0909090909090909,0.9090909090909092,1.0,0.956,22,16,0.0143816471099853
4,0,1.0,1.2544332001835496,0.9942525783442124,0.9302325581395348,1.0,0.1304347826086956,0.8695652173913043,1.0,0.954,23,0,0.0190927982330322
4,3,1.0,2.528744257167367,0.9873468223463416,0.9302325581395348,1.0,0.1304347826086956,0.8695652173913043,1.0,0.954,23,3,0.0164225101470947
4,4,1.0,1.7288495225201117,0.9930125189060068,0.9302325581395348,1.0,0.1304347826086956,0.8695652173913043,1.0,0.954,23,4,0.0155041217803955
5,9,1.5,3.196662977877267,0.9859219276261366,0.9302325581395348,1.0,0.1304347826086956,0.8695652173913043,1.0,0.954,23,9,0.018301248550415
5,11,1.5,4.140799090707723,0.9804932102469426,0.9090909090909092,1.0,0.1666666666666666,0.8333333333333334,1.0,0.952,24,11,0.0161380767822265
5,0,1.5,2.666481815034403,0.9876717619081338,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,0.0193967819213867
5,3,1.5,4.4227307771406,0.9778394881816184,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,3,0.01727294921875
