scenario,sigma,repeat,method,mse,tpr,fdr,f1,n_selected,time
High SNR (σ=2.5),2.5,3,Full XLasso,357.34901684877207,0.0,0.0,0.0,0,34.67573881149292
High SNR (σ=2.5),2.5,4,UniLasso,10.340642636280364,0.96,0.36,0.7679999999999999,75,3.2227182388305664
High SNR (σ=2.5),2.5,4,Soft Constraint,328.75125915451684,0.0,0.0,0.0,0,35.49539589881897
High SNR (σ=2.5),2.5,4,Soft + Adaptive,328.7872338902478,0.0,0.0,0.0,0,51.84290027618408
High SNR (σ=2.5),2.5,4,Soft + Group,328.75125915451684,0.0,0.0,0.0,0,41.062599897384644
High SNR (σ=2.5),2.5,4,Full XLasso,328.7872338902478,0.0,0.0,0.0,0,44.62166142463684
High SNR (σ=2.5),2.5,5,UniLasso,10.303789512505743,0.94,0.4268292682926829,0.7121212121212122,82,3.0002520084381104
High SNR (σ=2.5),2.5,5,Soft Constraint,358.7536526618287,0.02,0.0,0.0392156862745098,1,29.796260356903076
High SNR (σ=2.5),2.5,5,Soft + Adaptive,354.1361084699973,0.02,0.0,0.0392156862745098,1,49.733847856521606
High SNR (σ=2.5),2.5,5,Soft + Group,356.5586263237441,0.02,0.0,0.0392156862745098,1,28.936742544174194
High SNR (σ=2.5),2.5,5,Full XLasso,354.1361084699973,0.02,0.0,0.0392156862745098,1,47.77682948112488
High SNR (σ=2.5),2.5,6,UniLasso,8.892407141885858,0.98,0.33783783783783783,0.7903225806451613,74,3.052590847015381
High SNR (σ=2.5),2.5,6,Soft Constraint,368.0171736665732,0.0,0.0,0.0,0,36.977548122406006
High SNR (σ=2.5),2.5,6,Soft + Adaptive,369.14211485842617,0.0,0.0,0.0,0,49.52881169319153
High SNR (σ=2.5),2.5,6,Soft + Group,368.3531385125689,0.0,0.0,0.0,0,44.67235803604126
High SNR (σ=2.5),2.5,6,Full XLasso,372.71664903939734,0.0,0.0,0.0,0,53.18266820907593
High SNR (σ=2.5),2.5,7,UniLasso,9.642214347302065,0.96,0.38461538461538464,0.7500000000000001,78,3.092991352081299
High SNR (σ=2.5),2.5,7,Soft Constraint,327.1072920868978,0.02,0.0,0.0392156862745098,1,27.499235153198242
High SNR (σ=2.5),2.5,7,Soft + Adaptive,317.78392156407887,0.02,0.0,0.0392156862745098,1,38.478628396987915
High SNR (σ=2.5),2.5,7,Soft + Group,323.22308365033115,0.02,0.0,0.0392156862745098,1,33.14312553405762
High SNR (σ=2.5),2.5,7,Full XLasso,317.78392156407887,0.02,0.0,0.0392156862745098,1,42.56141996383667
High SNR (σ=2.5),2.5,8,UniLasso,9.654516510970476,1.0,0.358974358974359,0.78125,78,3.0779078006744385
High SNR (σ=2.5),2.5,8,Soft Constraint,311.7227539937607,0.02,0.0,0.0392156862745098,1,10.578555583953857
High SNR (σ=2.5),2.5,8,Soft + Adaptive,283.4848355405586,0.04,0.5,0.07407407407407407,4,12.408779859542847
High SNR (σ=2.5),2.5,8,Soft + Group,320.23670170215837,0.0,0.0,0.0,0,15.008180379867554
High SNR (σ=2.5),2.5,8,Full XLasso,311.7227539937607,0.02,0.0,0.0392156862745098,1,9.409536123275757
High SNR (σ=2.5),2.5,9,UniLasso,8.63088465205123,0.94,0.37333333333333335,0.752,75,3.22070050239563
High SNR (σ=2.5),2.5,9,Soft Constraint,317.5319938248576,0.0,0.0,0.0,0,11.00645112991333
High SNR (σ=2.5),2.5,9,Soft + Adaptive,322.7035223220625,0.0,0.0,0.0,0,28.00243377685547
High SNR (σ=2.5),2.5,9,Soft + Group,317.5319938248576,0.0,0.0,0.0,0,24.419752836227417
High SNR (σ=2.5),2.5,9,Full XLasso,332.2470299286287,0.0,0.0,0.0,0,28.96427583694458
