sigma,snr,repeat,lambda_ridge,lambda_,gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0.1,10.0,39,1.0,1.0,0.5,0.3067238770796601,0.9959617436828352,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009453535079956055
0.1,10.0,40,1.0,1.0,0.5,0.6804453583487816,0.9915124394494645,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.00880575180053711
0.1,10.0,41,1.0,1.0,0.5,3.449403026300409,0.9584410052866529,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008752822875976562
0.1,10.0,42,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.00875711441040039
0.1,10.0,43,1.0,1.0,0.5,0.3490627420933247,0.9955753381045037,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008831024169921875
0.1,10.0,44,1.0,1.0,0.5,1.341607893231332,0.9799366115487013,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.00898885726928711
0.1,10.0,45,1.0,1.0,0.5,0.4165155425860674,0.9948362547323343,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008741378784179688
0.1,10.0,46,1.0,1.0,0.5,1.4249770023142643,0.9768584402790814,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008608818054199219
0.1,10.0,47,1.0,1.0,0.5,0.5007715038593062,0.9942166134992703,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009511232376098633
0.1,10.0,48,1.0,1.0,0.5,0.41803003266540323,0.9940045974489721,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008964300155639648
0.1,10.0,49,1.0,1.0,0.5,0.4944641419032888,0.9917346389201421,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008624076843261719
0.3,3.3333333333333335,0,1.0,1.0,0.5,0.4175158430304245,0.9949301058756195,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.008861303329467773
0.3,3.3333333333333335,1,1.0,1.0,0.5,0.8706431308616042,0.9913236267617755,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.00887155532836914
0.3,3.3333333333333335,2,1.0,1.0,0.5,0.45792653527722404,0.9928955579987438,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.00889444351196289
0.3,3.3333333333333335,3,1.0,1.0,0.5,0.9598560709227615,0.9891921391513998,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009119510650634766
0.3,3.3333333333333335,4,1.0,1.0,0.5,0.8655565156245096,0.9887619284008207,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.00867319107055664
0.3,3.3333333333333335,5,1.0,1.0,0.5,0.7227165601352922,0.9923308748354122,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009172439575195312
0.3,3.3333333333333335,6,1.0,1.0,0.5,0.7144975114379675,0.990769103954039,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008437395095825195
0.3,3.3333333333333335,7,1.0,1.0,0.5,1.2761317738998232,0.9852950589575792,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009022712707519531
0.3,3.3333333333333335,8,1.0,1.0,0.5,2.2563742139165144,0.9718407773816817,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008509635925292969
0.3,3.3333333333333335,9,1.0,1.0,0.5,1.1587835342799262,0.98597855563131,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.008957147598266602
