idx,params,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
16,"{'lambda_': 0.01, 'gamma': 0.5, 'group_threshold': 0.7}",422.18310402600724,-34.91289635865811,0.28308705728060574,1.0,0.8347944947209652,0.1652055052790347,1.0,0.38666666666666666,30.666666666666668,1.0,0.006997108459472656
17,"{'lambda_': 0.01, 'gamma': 0.5, 'group_threshold': 0.9}",424.2974366791902,-35.09686481569329,0.2902095644031128,1.0,0.8300506617038875,0.1699493382961125,1.0,0.4066666666666667,29.666666666666668,1.0,0.0066681702931722
18,"{'lambda_': 0.1, 'gamma': 0.1, 'group_threshold': 0.5}",28.12521615312653,-1.3270986234985809,0.6796906796906798,1.0,0.47827635327635326,0.5217236467236467,1.0,0.8000000000000002,10.0,1.0,0.007589260737101237
19,"{'lambda_': 0.1, 'gamma': 0.1, 'group_threshold': 0.7}",16.499092771438033,-0.3239737187618258,0.8585858585858585,1.0,0.24603174603174602,0.753968253968254,1.0,0.8666666666666667,6.666666666666667,1.0,0.004684050877888997
20,"{'lambda_': 0.1, 'gamma': 0.1, 'group_threshold': 0.9}",16.49911381894983,-0.3239755501095391,0.8585858585858585,1.0,0.24603174603174602,0.753968253968254,1.0,0.8666666666666667,6.666666666666667,1.0,0.004502614339192708
21,"{'lambda_': 0.1, 'gamma': 0.3, 'group_threshold': 0.5}",33.33610081531458,-1.7767946724278965,0.6905839258780436,1.0,0.46759259259259256,0.5324074074074074,1.0,0.8066666666666666,9.666666666666666,1.0,0.007559140523274739
22,"{'lambda_': 0.1, 'gamma': 0.3, 'group_threshold': 0.7}",17.45881095644523,-0.40605474378120276,0.8585858585858585,1.0,0.24603174603174602,0.753968253968254,1.0,0.8666666666666667,6.666666666666667,1.0,0.004670858383178711
23,"{'lambda_': 0.1, 'gamma': 0.3, 'group_threshold': 0.9}",17.458837502346856,-0.4060570535447848,0.8585858585858585,1.0,0.24603174603174602,0.753968253968254,1.0,0.8666666666666667,6.666666666666667,1.0,0.004480918248494466
24,"{'lambda_': 0.1, 'gamma': 0.5, 'group_threshold': 0.5}",37.067519093560065,-2.098132529994881,0.6905839258780436,1.0,0.46759259259259256,0.5324074074074074,1.0,0.8066666666666666,9.666666666666666,1.0,0.0075643062591552734
25,"{'lambda_': 0.1, 'gamma': 0.5, 'group_threshold': 0.7}",18.19980555683908,-0.46922204477055046,0.8585858585858585,1.0,0.24603174603174602,0.753968253968254,1.0,0.8666666666666667,6.666666666666667,1.0,0.004749854405721028
26,"{'lambda_': 0.1, 'gamma': 0.5, 'group_threshold': 0.9}",18.19979567473968,-0.4692211849273386,0.8585858585858585,1.0,0.24603174603174602,0.753968253968254,1.0,0.8666666666666667,6.666666666666667,1.0,0.004479169845581055
