repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,best_alpha,iteration,algo
24,66,56,15,0.17676470224285398,49,0.988013698630137,13.150426626205444,49,"[11, 72, 281, 313, 596, 623, 826, 896, 1094, 1130, 1139, 1238, 1280, 1301, 1302, 1355, 1424, 1523, 1584, 1635, 1761, 1826, 2026, 2115, 2241, 2344, 2483, 2563, 2771, 2873, 3032, 3054, 3076, 3103, 3104, 3238, 3310, 3464, 3507, 3513, 3643, 3841, 3964, 3997, 3998, 4002, 4003, 4017, 4069]",0.01,24,lasso_cv
25,67,56,15,0.21433853665447652,53,0.9870352250489237,13.99277925491333,53,"[11, 32, 40, 58, 72, 79, 215, 243, 607, 623, 644, 653, 705, 707, 973, 999, 1130, 1209, 1280, 1302, 1363, 1418, 1424, 1523, 1527, 1553, 1624, 1635, 1638, 1761, 1819, 1825, 1901, 2010, 2026, 2033, 2129, 2183, 2305, 2344, 2461, 2533, 2563, 2855, 2873, 3104, 3172, 3225, 3238, 3378, 3513, 3538, 4003]",0.01,25,lasso_cv
26,68,56,15,0.1400241045123005,40,0.990215264187867,14.240195989608765,40,"[33, 40, 72, 84, 623, 858, 1099, 1130, 1302, 1363, 1424, 1441, 1638, 1761, 1809, 1836, 1868, 2026, 2241, 2304, 2344, 2473, 2483, 2563, 2627, 3103, 3104, 3109, 3225, 3310, 3322, 3532, 3668, 3770, 3835, 3841, 3904, 4002, 4003, 4046]",0.01,26,lasso_cv
27,69,56,15,0.22208677810433003,48,0.9882583170254403,13.078753232955933,48,"[11, 12, 72, 243, 424, 496, 623, 764, 826, 973, 1127, 1130, 1280, 1302, 1363, 1527, 1553, 1761, 1809, 1825, 1826, 1836, 1858, 1912, 2026, 2129, 2183, 2384, 2563, 2738, 2814, 2863, 2873, 3054, 3104, 3151, 3287, 3300, 3378, 3478, 3513, 3626, 3668, 3949, 4003, 4022, 4070, 4074]",0.01,27,lasso_cv
28,70,56,15,0.4097047650590752,22,0.9946183953033269,15.245087385177612,22,"[132, 314, 556, 651, 824, 985, 1296, 1302, 1311, 1515, 1523, 1638, 1761, 1809, 1856, 2563, 2873, 3225, 3310, 3513, 3738, 4003]",0.1,28,lasso_cv
29,71,56,15,0.33666983410662993,51,0.9875244618395304,15.414627313613892,51,"[27, 68, 74, 281, 330, 414, 541, 553, 623, 713, 973, 1064, 1068, 1122, 1130, 1175, 1280, 1282, 1472, 1478, 1523, 1597, 1639, 1680, 1761, 1809, 1826, 1858, 2026, 2094, 2241, 2563, 2738, 2814, 2873, 2905, 2935, 3076, 3104, 3225, 3303, 3310, 3507, 3513, 3538, 3807, 3846, 3922, 3949, 4002, 4074]",0.01,29,lasso_cv
30,72,56,15,0.1942748148128561,48,0.9882583170254403,12.482987403869629,48,"[58, 72, 243, 314, 348, 414, 579, 623, 767, 858, 885, 1130, 1209, 1302, 1355, 1363, 1424, 1523, 1527, 1638, 1761, 1809, 1819, 1826, 2010, 2026, 2094, 2241, 2344, 2483, 2505, 2563, 2627, 2693, 2873, 2926, 3103, 3310, 3478, 3538, 3668, 3769, 3781, 3835, 3904, 3949, 4003, 4074]",0.01,30,lasso_cv
31,73,56,15,0.3326086550458752,49,0.988013698630137,16.909083366394043,49,"[32, 72, 166, 280, 281, 287, 329, 330, 512, 558, 623, 824, 858, 1103, 1193, 1207, 1209, 1281, 1424, 1523, 1588, 1597, 1638, 1639, 1680, 1761, 1826, 1848, 1892, 2026, 2241, 2264, 2344, 2556, 2563, 2873, 2935, 3172, 3225, 3310, 3374, 3378, 3513, 3538, 3591, 3807, 3972, 4002, 4074]",0.01,31,lasso_cv
32,74,56,15,0.27775888744921945,52,0.987279843444227,16.560566425323486,52,"[68, 72, 74, 135, 408, 623, 953, 1130, 1177, 1278, 1280, 1295, 1296, 1302, 1424, 1523, 1527, 1635, 1761, 1809, 1811, 1854, 1875, 1971, 2026, 2094, 2115, 2260, 2302, 2444, 2533, 2563, 2631, 2716, 3103, 3104, 3171, 3225, 3310, 3378, 3464, 3477, 3478, 3507, 3514, 3736, 3823, 3956, 3999, 4002, 4070, 4072]",0.01,32,lasso_cv
33,75,56,15,0.26688935147103593,48,0.9882583170254403,15.546753406524658,48,"[72, 142, 330, 496, 598, 623, 653, 858, 889, 1124, 1130, 1209, 1278, 1307, 1355, 1424, 1478, 1523, 1525, 1527, 1635, 1638, 1647, 1714, 1761, 1809, 1826, 2026, 2094, 2278, 2344, 2461, 2505, 2563, 2693, 2814, 2825, 2935, 3103, 3310, 3378, 3666, 3904, 3922, 3949, 3961, 4002, 4074]",0.01,33,lasso_cv
