repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,best_alpha,best_gamma,cv_score,iteration,algo
25,67,56,15,0.21843854069892604,66,0.9838551859099804,3.837301015853882,66,"[11, 32, 58, 63, 72, 189, 215, 243, 281, 579, 595, 623, 653, 889, 896, 973, 1006, 1130, 1209, 1280, 1302, 1363, 1424, 1523, 1527, 1533, 1553, 1584, 1597, 1635, 1638, 1761, 1772, 1801, 1819, 1825, 1848, 1901, 2010, 2026, 2033, 2183, 2241, 2264, 2305, 2344, 2461, 2563, 2693, 2716, 2738, 2873, 3103, 3104, 3172, 3188, 3225, 3238, 3378, 3441, 3458, 3513, 3538, 3555, 3807, 4003]",9.999999999999999e-05,0.5,-52.78552319794992,25,adaptive_lasso_cv
26,68,56,15,0.5650207852078317,0,1.0,4.900986909866333,0,[],1.3738237958832638,1.0,-51.9660617422483,26,adaptive_lasso_cv
27,69,56,15,0.2348160016106692,56,0.9863013698630136,4.51556396484375,56,"[11, 12, 72, 215, 277, 424, 539, 541, 623, 826, 945, 973, 1127, 1130, 1209, 1278, 1280, 1302, 1363, 1435, 1478, 1527, 1553, 1584, 1639, 1761, 1825, 1826, 1836, 1858, 1912, 1959, 2026, 2116, 2183, 2384, 2505, 2563, 2738, 2814, 2863, 3054, 3104, 3151, 3172, 3225, 3287, 3378, 3478, 3513, 3534, 3643, 3668, 4003, 4022, 4074]",9.999999999999999e-05,0.5,-51.199657263257606,27,adaptive_lasso_cv
28,70,56,15,0.32057194020889795,57,0.9860567514677103,5.681646347045898,57,"[58, 72, 75, 79, 244, 281, 313, 554, 555, 597, 631, 790, 809, 941, 1130, 1260, 1296, 1302, 1315, 1355, 1363, 1424, 1447, 1478, 1515, 1524, 1638, 1693, 1761, 1809, 1826, 1854, 1920, 1959, 2026, 2089, 2116, 2133, 2241, 2304, 2344, 2473, 2563, 2627, 2873, 3076, 3103, 3205, 3299, 3310, 3478, 3668, 3997, 4002, 4003, 4017, 4043]",9.999999999999999e-05,0.5,-51.1004394565933,28,adaptive_lasso_cv
29,71,56,15,0.4635428041635026,57,0.9860567514677103,6.437277317047119,57,"[27, 68, 74, 121, 142, 143, 281, 414, 623, 713, 714, 826, 877, 973, 1064, 1068, 1122, 1130, 1278, 1280, 1282, 1424, 1472, 1478, 1523, 1597, 1639, 1761, 1809, 1826, 1858, 2010, 2026, 2040, 2094, 2241, 2563, 2738, 2814, 2873, 2905, 2935, 3076, 3104, 3225, 3303, 3310, 3538, 3807, 3846, 3922, 3949, 3964, 4002, 4017, 4069, 4074]",9.999999999999999e-05,0.5,-51.178009701358995,29,adaptive_lasso_cv
30,72,56,15,0.2445798141081645,57,0.9860567514677103,3.9482498168945312,57,"[72, 243, 348, 418, 541, 579, 623, 653, 705, 767, 858, 885, 961, 1105, 1130, 1209, 1302, 1355, 1363, 1424, 1523, 1527, 1638, 1761, 1809, 1819, 1826, 2026, 2094, 2241, 2264, 2344, 2483, 2505, 2563, 2564, 2627, 2693, 2873, 2926, 2935, 3102, 3108, 3109, 3225, 3310, 3378, 3478, 3538, 3668, 3769, 3770, 3904, 3921, 3949, 4003, 4074]",9.999999999999999e-05,0.5,-51.594461350171926,30,adaptive_lasso_cv
31,73,56,15,0.37167920653877223,56,0.9863013698630136,4.111370325088501,56,"[11, 32, 63, 72, 189, 277, 280, 281, 287, 512, 558, 623, 653, 790, 824, 858, 1064, 1103, 1193, 1207, 1209, 1280, 1281, 1424, 1523, 1593, 1597, 1638, 1680, 1761, 1826, 1848, 1892, 2026, 2264, 2344, 2473, 2556, 2563, 2564, 2873, 2935, 3225, 3309, 3310, 3322, 3378, 3513, 3514, 3538, 3591, 3786, 3972, 4002, 4049, 4074]",9.999999999999999e-05,0.5,-52.24421141826743,31,adaptive_lasso_cv
32,74,56,15,0.6338903678741777,0,1.0,3.9999148845672607,0,[],0.6210169418915616,1.0,-52.42832687481133,32,adaptive_lasso_cv
33,75,56,15,0.3617345906391718,55,0.9865459882583171,5.012357234954834,55,"[33, 72, 166, 189, 330, 598, 623, 653, 813, 858, 889, 1124, 1127, 1130, 1209, 1278, 1355, 1424, 1478, 1523, 1524, 1525, 1635, 1638, 1647, 1714, 1761, 1809, 1826, 1959, 2026, 2094, 2278, 2344, 2461, 2505, 2563, 2626, 2693, 2814, 2825, 2935, 3103, 3104, 3310, 3378, 3513, 3666, 3668, 3904, 3922, 3961, 4002, 4069, 4074]",9.999999999999999e-05,0.5,-52.37095864808695,33,adaptive_lasso_cv
34,76,56,15,0.6418461997046804,56,0.9863013698630136,3.8522403240203857,56,"[33, 72, 281, 287, 364, 402, 555, 567, 579, 623, 896, 917, 1033, 1094, 1118, 1130, 1246, 1281, 1424, 1491, 1523, 1584, 1638, 1761, 1772, 1854, 1908, 1951, 2026, 2042, 2094, 2115, 2264, 2278, 2344, 2563, 2693, 2738, 2873, 2922, 2935, 3225, 3312, 3378, 3478, 3514, 3524, 3538, 3597, 3786, 3807, 3961, 3997, 4002, 4047, 4071]",9.999999999999999e-05,0.5,-51.14267084817735,34,adaptive_lasso_cv
