repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,iteration,algo
48,90,56,15,0.2054212345350769,17,0.9958414872798435,48.55953574180603,17,"[72, 623, 973, 1277, 1302, 1515, 1587, 1638, 1761, 1819, 2563, 3225, 3513, 3807, 4002, 4003, 4074]",48,relaxed_lasso_1se
49,91,56,15,0.3369496949642914,33,0.9919275929549902,46.872360944747925,33,"[72, 84, 132, 550, 555, 824, 1103, 1122, 1209, 1296, 1302, 1503, 1515, 1523, 1597, 1638, 1663, 1761, 1959, 1985, 2026, 2241, 2317, 2473, 2533, 3104, 3225, 3310, 3507, 3513, 3738, 3751, 4003]",49,relaxed_lasso_1se
50,92,56,15,0.14274313147919804,25,0.9938845401174168,29.632850646972656,25,"[72, 132, 314, 623, 791, 826, 953, 1281, 1302, 1489, 1515, 1523, 1635, 1638, 1761, 1819, 1826, 1848, 2026, 2563, 3104, 3275, 3513, 4002, 4007]",50,relaxed_lasso_1se
51,93,56,15,0.09045400843405559,27,0.9933953033268101,30.716856956481934,27,"[72, 314, 623, 826, 858, 1130, 1276, 1281, 1282, 1302, 1363, 1477, 1515, 1523, 1638, 1761, 1826, 1874, 2026, 2241, 2563, 2771, 3225, 3287, 3310, 3513, 4003]",51,relaxed_lasso_1se
52,94,56,15,0.2298071918539764,23,0.9943737769080235,30.91958737373352,23,"[142, 230, 623, 858, 1122, 1277, 1282, 1296, 1424, 1515, 1527, 1635, 1638, 1761, 1819, 2026, 2033, 2461, 2563, 2873, 3225, 3513, 4003]",52,relaxed_lasso_1se
53,95,56,15,0.11789731886212547,11,0.9973091976516634,35.57983613014221,11,"[307, 623, 1277, 1296, 1311, 1501, 1515, 1638, 2563, 4002, 4003]",53,relaxed_lasso_1se
54,96,56,15,0.18984974285525602,23,0.9943737769080235,39.21176743507385,23,"[72, 623, 791, 824, 1122, 1277, 1278, 1296, 1311, 1363, 1515, 1527, 1638, 1639, 1761, 1819, 1826, 2094, 2563, 3225, 3513, 4002, 4003]",54,relaxed_lasso_1se
55,97,56,15,0.17578415268634626,22,0.9946183953033269,35.923126459121704,22,"[142, 623, 826, 973, 1122, 1278, 1281, 1302, 1311, 1424, 1515, 1523, 1527, 1638, 1639, 1826, 1848, 2115, 2563, 3104, 3513, 4003]",55,relaxed_lasso_1se
56,98,56,15,0.22101497125267897,26,0.9936399217221135,42.99585294723511,26,"[72, 414, 623, 858, 1094, 1207, 1296, 1305, 1363, 1424, 1527, 1638, 1761, 1819, 1874, 1985, 2026, 2183, 2461, 2563, 2873, 3225, 3310, 3513, 4002, 4003]",56,relaxed_lasso_1se
57,99,56,15,0.10495319548548647,31,0.9924168297455969,39.75494623184204,31,"[72, 314, 623, 826, 973, 1130, 1278, 1281, 1302, 1311, 1363, 1424, 1515, 1638, 1761, 1826, 1848, 1854, 1874, 1959, 2026, 2183, 2241, 2563, 3104, 3205, 3225, 3310, 3513, 4003, 4074]",57,relaxed_lasso_1se
58,100,56,15,0.3682475603542136,25,0.9938845401174168,30.247936487197876,25,"[37, 75, 124, 555, 1201, 1296, 1302, 1311, 1479, 1502, 1515, 1523, 1638, 1761, 1826, 1959, 2026, 2241, 2563, 2771, 2859, 2873, 3310, 3738, 4002]",58,relaxed_lasso_1se
59,101,56,15,0.5095088253687444,11,0.9973091976516634,29.22977614402771,11,"[973, 1278, 1284, 1299, 1302, 1501, 1515, 1587, 1602, 1761, 4003]",59,relaxed_lasso_1se
60,102,56,15,0.1918398113563701,20,0.9951076320939335,36.2667350769043,20,"[69, 72, 307, 623, 791, 1130, 1277, 1282, 1311, 1503, 1515, 1527, 1819, 1826, 1856, 1995, 2026, 2563, 4002, 4074]",60,relaxed_lasso_1se
61,103,56,15,0.5633206104429657,30,0.9926614481409002,37.93795990943909,30,"[68, 418, 623, 791, 1130, 1281, 1515, 1523, 1638, 1647, 1761, 1826, 1854, 1875, 2026, 2241, 2344, 2461, 2505, 2563, 2738, 2873, 3225, 3310, 3378, 3538, 3561, 3922, 4002, 4003]",61,relaxed_lasso_1se
62,104,56,15,0.31674869270931605,13,0.9968199608610567,41.539721727371216,13,"[623, 1122, 1277, 1284, 1311, 1635, 1638, 2563, 3310, 3513, 4002, 4003, 4074]",62,relaxed_lasso_1se
63,105,56,15,0.20570549439553013,37,0.9909491193737769,41.887718200683594,37,"[72, 314, 414, 584, 623, 858, 885, 1130, 1278, 1294, 1302, 1363, 1502, 1523, 1527, 1638, 1761, 1809, 1819, 1825, 1874, 2010, 2026, 2094, 2563, 2873, 3103, 3104, 3225, 3310, 3464, 3538, 3770, 3781, 4002, 4003, 4074]",63,relaxed_lasso_1se
64,106,56,15,0.2123454723886214,21,0.9948630136986302,35.410675048828125,21,"[72, 314, 414, 623, 691, 1085, 1122, 1130, 1281, 1489, 1515, 1523, 1639, 1819, 1826, 2026, 2563, 2873, 4002, 4003, 4074]",64,relaxed_lasso_1se
65,107,56,15,0.42283593543739123,12,0.99706457925636,44.47665858268738,12,"[307, 651, 1122, 1296, 1302, 1311, 1501, 1515, 1638, 1995, 2873, 4002]",65,relaxed_lasso_1se
66,108,56,15,0.09378868451259939,22,0.9946183953033269,26.140555143356323,22,"[72, 623, 714, 791, 824, 1122, 1278, 1296, 1311, 1424, 1515, 1523, 1638, 1761, 1819, 1995, 2352, 2563, 3225, 4002, 4003, 4074]",66,relaxed_lasso_1se
67,109,56,15,0.4470171058752209,20,0.9951076320939335,42.93775296211243,20,"[72, 149, 554, 584, 631, 651, 1122, 1278, 1296, 1311, 1515, 1639, 1761, 1826, 1959, 2873, 2935, 3310, 4003, 4007]",67,relaxed_lasso_1se
68,110,56,15,0.5410285745587662,12,0.99706457925636,44.68813967704773,12,"[1296, 1302, 1311, 1501, 1515, 1587, 1761, 1959, 2067, 2563, 2771, 4002]",68,relaxed_lasso_1se
69,111,56,15,0.3021494760012304,37,0.9909491193737769,47.33583045005798,37,"[72, 132, 143, 418, 1094, 1122, 1278, 1296, 1302, 1489, 1500, 1501, 1515, 1524, 1639, 1761, 1826, 1854, 1856, 1936, 1959, 1995, 2026, 2241, 2451, 2469, 2563, 2771, 2873, 2935, 3310, 3478, 3669, 3738, 4002, 4003, 4074]",69,relaxed_lasso_1se
70,112,56,15,0.23165398634696927,13,0.9968199608610567,39.86828804016113,13,"[72, 623, 824, 973, 1277, 1281, 1296, 1311, 1638, 1639, 2563, 3807, 4002]",70,relaxed_lasso_1se
71,113,56,15,0.4638166706313401,18,0.9955968688845401,34.385406255722046,18,"[623, 973, 1094, 1278, 1299, 1302, 1311, 1363, 1502, 1524, 1587, 1761, 1874, 1959, 2383, 2563, 4002, 4003]",71,relaxed_lasso_1se
72,114,56,15,0.41355554576173476,11,0.9973091976516634,29.26499629020691,11,"[623, 826, 1277, 1296, 1311, 1502, 1587, 1761, 1995, 2563, 4002]",72,relaxed_lasso_1se
