gamma,cap,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,sign_accuracy_mean,sign_accuracy_std,active_set_size_mean,active_set_size_std,avg_bias_mean,avg_bias_std,f1_se,mse_se,tpr_se,fdr_se,precision_se,recall_se,r2_se,sparsity_se,n_selected_se,sign_accuracy_se,active_set_size_se,avg_bias_se,f1_rank,mse_rank,fdr_rank,sign_accuracy_rank
1.0,1,0.770459,0.079362,12.027777,0.895493,0.982,0.029898,0.359859,0.101504,0.640141,0.101504,0.982,0.029898,0.866745,0.010129,0.93696,0.011308,31.52,5.654112,1.0,0.0,31.52,5.654112,0.336901,0.04804,0.011223,0.126642,0.004228,0.014355,0.014355,0.004228,0.001432,0.001599,0.799612,0.0,0.799612,0.006794,52.0,46.0,53.0,28.5
1.0,2,0.814324,0.082926,12.240111,0.893591,0.911,0.064119,0.254977,0.116902,0.745023,0.116902,0.911,0.064119,0.864386,0.010198,0.9498,0.009513,25.1,4.756306,1.0,0.0,25.1,4.756306,0.422784,0.077541,0.011728,0.126373,0.009068,0.016532,0.016532,0.009068,0.001442,0.001345,0.672643,0.0,0.672643,0.010966,36.0,52.0,24.0,28.5
1.0,5,0.829085,0.069085,11.795804,0.761688,0.921,0.065535,0.241344,0.090819,0.758656,0.090819,0.921,0.065535,0.869308,0.008774,0.95084,0.006274,24.58,3.136942,1.0,0.0,24.58,3.136942,0.397444,0.07493,0.00977,0.107719,0.009268,0.012844,0.012844,0.009268,0.001241,0.000887,0.443631,0.0,0.443631,0.010597,4.5,20.0,20.5,28.5
1.0,10,0.829085,0.069085,11.793941,0.762735,0.921,0.065535,0.241344,0.090819,0.758656,0.090819,0.921,0.065535,0.869328,0.008782,0.95084,0.006274,24.58,3.136942,1.0,0.0,24.58,3.136942,0.397272,0.074894,0.00977,0.107867,0.009268,0.012844,0.012844,0.009268,0.001242,0.000887,0.443631,0.0,0.443631,0.010592,4.5,19.0,20.5,28.5
1.0,20,0.829085,0.069085,11.793941,0.762735,0.921,0.065535,0.241344,0.090819,0.758656,0.090819,0.921,0.065535,0.869328,0.008782,0.95084,0.006274,24.58,3.136942,1.0,0.0,24.58,3.136942,0.397272,0.074894,0.00977,0.107867,0.009268,0.012844,0.012844,0.009268,0.001242,0.000887,0.443631,0.0,0.443631,0.010592,4.5,16.5,20.5,28.5
1.0,50,0.829085,0.069085,11.793941,0.762735,0.921,0.065535,0.241344,0.090819,0.758656,0.090819,0.921,0.065535,0.869328,0.008782,0.95084,0.006274,24.58,3.136942,1.0,0.0,24.58,3.136942,0.397272,0.074894,0.00977,0.107867,0.009268,0.012844,0.012844,0.009268,0.001242,0.000887,0.443631,0.0,0.443631,0.010592,4.5,16.5,20.5,28.5
1.0,100,0.829085,0.069085,11.793941,0.762735,0.921,0.065535,0.241344,0.090819,0.758656,0.090819,0.921,0.065535,0.869328,0.008782,0.95084,0.006274,24.58,3.136942,1.0,0.0,24.58,3.136942,0.397272,0.074894,0.00977,0.107867,0.009268,0.012844,0.012844,0.009268,0.001242,0.000887,0.443631,0.0,0.443631,0.010592,4.5,16.5,20.5,28.5
1.0,None,0.829085,0.069085,11.793941,0.762735,0.921,0.065535,0.241344,0.090819,0.758656,0.090819,0.921,0.065535,0.869328,0.008782,0.95084,0.006274,24.58,3.136942,1.0,0.0,24.58,3.136942,0.397272,0.074894,0.00977,0.107867,0.009268,0.012844,0.012844,0.009268,0.001242,0.000887,0.443631,0.0,0.443631,0.010592,4.5,16.5,20.5,28.5
1.5,1,0.770459,0.079362,12.027777,0.895493,0.982,0.029898,0.359859,0.101504,0.640141,0.101504,0.982,0.029898,0.866745,0.010129,0.93696,0.011308,31.52,5.654112,1.0,0.0,31.52,5.654112,0.336901,0.04804,0.011223,0.126642,0.004228,0.014355,0.014355,0.004228,0.001432,0.001599,0.799612,0.0,0.799612,0.006794,52.0,46.0,53.0,28.5
1.5,2,0.792528,0.089649,12.478284,0.877682,0.916,0.069576,0.289122,0.13099,0.710878,0.13099,0.916,0.069576,0.861747,0.010038,0.94652,0.0118,26.74,5.899879,1.0,0.0,26.74,5.899879,0.455766,0.079031,0.012678,0.124123,0.00984,0.018525,0.018525,0.00984,0.00142,0.001669,0.834369,0.0,0.834369,0.011177,46.0,54.0,40.0,28.5
