idx,repeat,params_lambda_ridge,params_lambda_,params_gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
10,2,1.0,1.0,1.0,1.711763272329815,0.9920141856716175,0.5633802816901409,1.0,0.6078431372549019,0.39215686274509803,1.0,0.898,51,2,0.035714149475097656
10,3,1.0,1.0,1.0,2.219465065548044,0.9888943748697127,0.7547169811320755,1.0,0.3939393939393939,0.6060606060606061,1.0,0.9339999999999999,33,3,0.026109695434570312
10,4,1.0,1.0,1.0,1.340382773604894,0.9945825827133724,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,4,0.021301746368408203
11,0,1.0,1.0,2.0,6.655893844005181,0.9695047704317282,0.14814814814814814,1.0,0.92,0.08,1.0,0.5,250,0,0.1466834545135498
11,1,1.0,1.0,2.0,2.696777614617353,0.9855596349234635,0.17316017316017313,1.0,0.9052132701421801,0.0947867298578199,1.0,0.5780000000000001,211,1,0.14438652992248535
11,2,1.0,1.0,2.0,15.954455621289553,0.9255683759772314,0.1288135593220339,0.95,0.9309090909090909,0.06909090909090909,0.95,0.44999999999999996,275,2,0.1462717056274414
11,3,1.0,1.0,2.0,6.900208834757322,0.9654731521441678,0.14760147601476015,1.0,0.9203187250996016,0.0796812749003984,1.0,0.498,251,3,0.1401987075805664
11,4,1.0,1.0,2.0,7.880276514284736,0.968150332089783,0.1492537313432836,1.0,0.9193548387096774,0.08064516129032258,1.0,0.504,248,4,0.14644312858581543
12,0,10.0,0.01,0.5,2.3787351022320355,0.9891013777075175,0.17857142857142855,1.0,0.9019607843137255,0.09803921568627451,1.0,0.5920000000000001,204,0,0.14428138732910156
12,1,10.0,0.01,0.5,2.1333539368412024,0.9885765850626788,0.17699115044247787,1.0,0.9029126213592233,0.0970873786407767,1.0,0.5880000000000001,206,1,0.13808369636535645
12,2,10.0,0.01,0.5,3.4288934141005187,0.9840033335219589,0.17777777777777776,1.0,0.9024390243902439,0.0975609756097561,1.0,0.5900000000000001,205,2,0.1392061710357666
12,3,10.0,0.01,0.5,3.6227697332617805,0.9818726038019338,0.17543859649122806,1.0,0.9038461538461539,0.09615384615384616,1.0,0.5840000000000001,208,3,0.1398303508758545
12,4,10.0,0.01,0.5,3.050700830238297,0.987670000137637,0.18691588785046725,1.0,0.8969072164948454,0.10309278350515463,1.0,0.612,194,4,0.13704133033752441
13,0,10.0,0.01,1.0,4.1534188130908,0.980970330481989,0.15564202334630348,1.0,0.9156118143459916,0.08438818565400844,1.0,0.526,237,0,0.14091014862060547
13,1,10.0,0.01,1.0,3.8011015540303696,0.9796463401966584,0.15625,1.0,0.9152542372881356,0.0847457627118644,1.0,0.528,236,1,0.1388547420501709
13,2,10.0,0.01,1.0,3.9848008186110735,0.9814098830209722,0.1593625498007968,1.0,0.9134199134199135,0.08658008658008658,1.0,0.538,231,2,0.14261150360107422
13,3,10.0,0.01,1.0,5.433455841364387,0.9728124021085851,0.16129032258064516,1.0,0.9122807017543859,0.08771929824561403,1.0,0.544,228,3,0.1468038558959961
13,4,10.0,0.01,1.0,5.700289645230193,0.9769611723822728,0.15625,1.0,0.9152542372881356,0.0847457627118644,1.0,0.528,236,4,0.1469130516052246
14,0,10.0,0.01,2.0,4.869784663019235,0.9776881655976867,0.12121212121212122,1.0,0.9354838709677419,0.06451612903225806,1.0,0.38,310,0,0.14671659469604492
14,1,10.0,0.01,2.0,6.2274245584986545,0.9666541713992722,0.1238390092879257,1.0,0.933993399339934,0.066006600660066,1.0,0.394,303,1,0.14484214782714844
14,2,10.0,0.01,2.0,18.719016947097902,0.9126709889353398,0.09467455621301776,0.8,0.949685534591195,0.050314465408805034,0.8,0.364,318,2,0.15784072875976562
14,3,10.0,0.01,2.0,6.83909982811707,0.9657789256976088,0.13245033112582782,1.0,0.9290780141843972,0.07092198581560284,1.0,0.43600000000000005,282,3,0.15326452255249023
14,4,10.0,0.01,2.0,4.521113494934396,0.9817270417938968,0.11904761904761907,1.0,0.9367088607594937,0.06329113924050633,1.0,0.368,316,4,0.15436053276062012
15,0,10.0,0.1,0.5,1.1938987448504694,0.994529928337382,0.4347826086956522,1.0,0.7222222222222222,0.2777777777777778,1.0,0.856,72,0,0.07322859764099121
15,1,10.0,0.1,0.5,1.356088114146171,0.9927385901833062,0.38095238095238093,1.0,0.7647058823529411,0.23529411764705882,1.0,0.83,85,1,0.07227039337158203
15,2,10.0,0.1,0.5,1.863833433376258,0.9913047394002582,0.4040404040404041,1.0,0.7468354430379747,0.25316455696202533,1.0,0.842,79,2,0.05998969078063965
15,3,10.0,0.1,0.5,2.2143920156829155,0.9889197590899663,0.4210526315789474,1.0,0.7333333333333333,0.26666666666666666,1.0,0.85,75,3,0.06342339515686035
15,4,10.0,0.1,0.5,1.422406645077758,0.9942510673074871,0.43956043956043955,1.0,0.7183098591549296,0.28169014084507044,1.0,0.858,71,4,0.04358720779418945
16,0,10.0,0.1,1.0,2.0781324481184664,0.9904786453083644,0.20833333333333334,1.0,0.8837209302325582,0.11627906976744186,1.0,0.656,172,0,0.14026880264282227
16,1,10.0,0.1,1.0,1.8037828518545596,0.9903413307948005,0.23668639053254437,1.0,0.8657718120805369,0.1342281879194631,1.0,0.702,149,1,0.12350821495056152
16,2,10.0,0.1,1.0,2.779624042714604,0.9870323415237117,0.23255813953488372,1.0,0.868421052631579,0.13157894736842105,1.0,0.696,152,2,0.13628673553466797
16,3,10.0,0.1,1.0,2.6409791597783254,0.9867852281251577,0.25316455696202533,1.0,0.855072463768116,0.14492753623188406,1.0,0.724,138,3,0.12219643592834473
16,4,10.0,0.1,1.0,2.5624051119653988,0.9896435421118026,0.21621621621621626,1.0,0.8787878787878788,0.12121212121212122,1.0,0.6699999999999999,165,4,0.13731908798217773
17,0,10.0,0.1,2.0,4.995768964448909,0.9771109448240175,0.12698412698412698,1.0,0.9322033898305084,0.06779661016949153,1.0,0.41000000000000003,295,0,0.15119266510009766
17,1,10.0,0.1,2.0,9.480863028653461,0.9492330688921788,0.13380281690140847,0.95,0.928030303030303,0.07196969696969698,0.95,0.472,264,1,0.16786789894104004
17,2,10.0,0.1,2.0,15.871149022613768,0.9259570226085196,0.11258278145695363,0.85,0.9397163120567376,0.06028368794326241,0.85,0.43600000000000005,282,2,0.15542292594909668
17,3,10.0,0.1,2.0,8.363014687608546,0.958153652642992,0.14981273408239698,1.0,0.9190283400809717,0.08097165991902834,1.0,0.506,247,3,0.1489400863647461
17,4,10.0,0.1,2.0,4.9288857689264045,0.9800789509577318,0.125,1.0,0.9333333333333333,0.06666666666666667,1.0,0.4,300,4,0.14421606063842773
18,0,10.0,0.5,0.5,1.053733142925626,0.9951721234066623,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,0.020277976989746094
18,1,10.0,0.5,0.5,1.1418836978321343,0.9938855850099523,0.7692307692307693,1.0,0.375,0.625,1.0,0.9359999999999999,32,1,0.01946878433227539
18,2,10.0,0.5,0.5,1.7742507794901907,0.9917226654374282,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,2,0.019500017166137695
18,3,10.0,0.5,0.5,2.2833733305148174,0.9885745945566701,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,3,0.018076181411743164
18,4,10.0,0.5,0.5,1.4471192372133446,0.9941511865670979,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,4,0.017656564712524414
19,0,10.0,0.5,1.0,1.203369464007146,0.9944865364561969,0.44943820224719105,1.0,0.7101449275362319,0.2898550724637681,1.0,0.862,69,0,0.07671880722045898
19,1,10.0,0.5,1.0,1.3001578099337123,0.9930380787311538,0.49382716049382713,1.0,0.6721311475409836,0.32786885245901637,1.0,0.878,61,1,0.056931495666503906
19,2,10.0,0.5,1.0,1.7680844179984034,0.9917514330940026,0.47058823529411764,1.0,0.6923076923076923,0.3076923076923077,1.0,0.87,65,2,0.05305171012878418
19,3,10.0,0.5,1.0,2.1948181793766324,0.9890177014688546,0.6779661016949152,1.0,0.48717948717948717,0.5128205128205128,1.0,0.922,39,3,0.029687166213989258
19,4,10.0,0.5,1.0,1.5571686376271259,0.9937064005433405,0.4210526315789474,1.0,0.7333333333333333,0.26666666666666666,1.0,0.85,75,4,0.05267691612243652
20,0,10.0,0.5,2.0,7.510974643449319,0.9655870569150146,0.13698630136986303,1.0,0.9264705882352942,0.07352941176470588,1.0,0.45599999999999996,272,0,0.14862823486328125
20,1,10.0,0.5,2.0,6.277798912712293,0.9663844331526342,0.15625,1.0,0.9152542372881356,0.0847457627118644,1.0,0.528,236,1,0.14306426048278809
20,2,10.0,0.5,2.0,8.47874092430399,0.9604445007937383,0.14234875444839856,1.0,0.9233716475095786,0.07662835249042145,1.0,0.478,261,2,0.15183019638061523
20,3,10.0,0.5,2.0,4.421837192293484,0.9778742783533527,0.16806722689075632,1.0,0.908256880733945,0.09174311926605505,1.0,0.5640000000000001,218,3,0.14149188995361328
20,4,10.0,0.5,2.0,7.086877658130222,0.971357007647812,0.1342281879194631,1.0,0.9280575539568345,0.07194244604316546,1.0,0.44399999999999995,278,4,0.13967609405517578
21,0,10.0,1.0,0.5,1.2544332001835496,0.9942525783442123,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,0.017276525497436523
21,1,10.0,1.0,0.5,1.2803750696490208,0.9931440088569368,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,1,0.015042781829833984
