idx,repeat,params_lambda_ridge,params_lambda_,params_gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
27,1,50.0,0.1,0.5,1.41943459252856,0.992399390440177,0.3669724770642201,1.0,0.7752808988764045,0.2247191011235955,1.0,0.8220000000000001,89,1,0.0741107463836669
31,1,50.0,0.5,1.0,1.57858340035998,0.9915472004508636,0.3149606299212598,1.0,0.8130841121495327,0.1869158878504672,1.0,0.786,107,1,0.1165144443511962
31,3,50.0,0.5,1.0,2.484351677034551,0.987568951255318,0.3007518796992481,1.0,0.8230088495575221,0.1769911504424778,1.0,0.774,113,3,0.1219398975372314
28,2,50.0,0.1,1.0,2.358114505297141,0.9889987915334006,0.2684563758389262,1.0,0.8449612403100775,0.1550387596899224,1.0,0.742,129,2,0.132561445236206
28,0,50.0,0.1,1.0,1.6857983563997034,0.9922761977445708,0.2597402597402597,1.0,0.8507462686567164,0.1492537313432835,1.0,0.732,134,0,0.1362824440002441
16,3,10.0,0.1,1.0,2.640979159778325,0.9867852281251576,0.2531645569620253,1.0,0.855072463768116,0.144927536231884,1.0,0.724,138,3,0.1221964359283447
4,4,1.0,0.1,1.0,2.2644601353750757,0.9908477445966668,0.2515723270440251,1.0,0.8561151079136691,0.1438848920863309,1.0,0.722,139,4,0.1252262592315673
28,4,50.0,0.1,1.0,2.2353088759361595,0.9909655650729676,0.2469135802469136,1.0,0.8591549295774648,0.1408450704225352,1.0,0.716,142,4,0.1339571475982666
4,1,1.0,0.1,1.0,1.735979107198958,0.9907043977459188,0.2395209580838323,1.0,0.8639455782312925,0.1360544217687075,1.0,0.706,147,1,0.1263272762298584
16,1,10.0,0.1,1.0,1.80378285185456,0.9903413307948004,0.2366863905325443,1.0,0.8657718120805369,0.1342281879194631,1.0,0.702,149,1,0.1235082149505615
16,2,10.0,0.1,1.0,2.779624042714604,0.9870323415237116,0.2325581395348837,1.0,0.868421052631579,0.131578947368421,1.0,0.696,152,2,0.1362867355346679
4,0,1.0,0.1,1.0,1.9601955448875064,0.991018995413533,0.2272727272727272,1.0,0.8717948717948718,0.1282051282051282,1.0,0.688,156,0,0.1278035640716552
16,4,10.0,0.1,1.0,2.5624051119653988,0.9896435421118026,0.2162162162162162,1.0,0.8787878787878788,0.1212121212121212,1.0,0.6699999999999999,165,4,0.1373190879821777
16,0,10.0,0.1,1.0,2.0781324481184664,0.9904786453083644,0.2083333333333333,1.0,0.8837209302325582,0.1162790697674418,1.0,0.656,172,0,0.1402688026428222
4,3,1.0,0.1,1.0,2.939018467652227,0.985293917052631,0.2061855670103092,1.0,0.8850574712643678,0.1149425287356321,1.0,0.652,174,3,0.1392807960510254
4,2,1.0,0.1,1.0,3.1830211859477227,0.9851503904744436,0.2051282051282051,1.0,0.8857142857142857,0.1142857142857142,1.0,0.65,175,2,0.1353414058685302
28,1,50.0,0.1,1.0,2.391992834837383,0.987191658070622,0.1999999999999999,1.0,0.8888888888888888,0.1111111111111111,1.0,0.64,180,1,0.1330494880676269
35,0,50.0,1.0,2.0,3.3880125332432134,0.98447718332009,0.196078431372549,1.0,0.8913043478260869,0.108695652173913,1.0,0.632,184,0,0.1380519866943359
35,2,50.0,1.0,2.0,3.6875127565662433,0.9827968080145804,0.1904761904761905,1.0,0.8947368421052632,0.1052631578947368,1.0,0.62,190,2,0.1416397094726562
0,4,1.0,0.01,0.5,2.9493327884017466,0.9880796987647538,0.1877934272300469,1.0,0.8963730569948186,0.1036269430051813,1.0,0.614,193,4,0.1379380226135254
12,4,10.0,0.01,0.5,3.050700830238297,0.987670000137637,0.1869158878504672,1.0,0.8969072164948454,0.1030927835051546,1.0,0.612,194,4,0.1370413303375244
28,3,50.0,0.1,1.0,3.261467643299677,0.983680465359294,0.1860465116279069,1.0,0.8974358974358975,0.1025641025641025,1.0,0.61,195,3,0.1457784175872802
24,4,50.0,0.01,0.5,3.1993249714551384,0.987069306807572,0.182648401826484,1.0,0.8994974874371859,0.100502512562814,1.0,0.602,199,4,0.1529767513275146
24,2,50.0,0.01,0.5,3.658328060979658,0.9829329620984728,0.1818181818181818,1.0,0.9,0.1,1.0,0.6,200,2,0.1298611164093017
