sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time,best_gamma,best_alpha,best_lambda_ridge,cv_score
2.0,0.5,0,AFL-CV (eps=1e-5),adaptive_flipped_lasso_cv,True,4.867246032778435,0.9518540080662934,0.6923076923076923,0.9,0.4375,0.5625,0.9,0.9359999999999999,32,0,3.908292531967163,1.0,0.0738476826666326,10.0,-5.754147823412574
2.0,0.5,0,AFL-CV (eps=1e-10),adaptive_flipped_lasso_cv,True,4.867249107346768,0.9518539776531724,0.6923076923076923,0.9,0.4375,0.5625,0.9,0.9359999999999999,32,0,3.735745668411255,1.0,0.0738475676985258,10.0,-5.754137804821338
2.0,0.5,1,AFL-CV (eps=1e-5),adaptive_flipped_lasso_cv,True,4.878825467198553,0.9409805377627053,0.5970149253731344,1.0,0.574468085106383,0.425531914893617,1.0,0.906,47,0,3.615870714187622,0.3,0.16834282450412008,10.0,-6.1281679345703335
2.0,0.5,1,AFL-CV (eps=1e-10),adaptive_flipped_lasso_cv,True,4.8788063488138995,0.9409807690390214,0.5970149253731344,1.0,0.574468085106383,0.425531914893617,1.0,0.906,47,0,3.7750959396362305,0.3,0.16834282450412008,10.0,-6.128171541472273
2.0,0.5,2,AFL-CV (eps=1e-5),adaptive_flipped_lasso_cv,True,5.661422068714719,0.9213079448906473,0.6415094339622641,0.85,0.48484848484848486,0.5151515151515151,0.85,0.9339999999999999,33,0,3.7319982051849365,1.0,0.08801612083952573,10.0,-6.70093045812047
2.0,0.5,2,AFL-CV (eps=1e-10),adaptive_flipped_lasso_cv,True,5.661450271579197,0.9213075528793578,0.6415094339622641,0.85,0.48484848484848486,0.5151515151515151,0.85,0.9339999999999999,33,0,3.337332248687744,1.0,0.08801605088309757,10.0,-6.700931859441981
2.0,0.5,3,AFL-CV (eps=1e-5),adaptive_flipped_lasso_cv,True,6.263581497441007,0.9318097717755002,0.7272727272727273,1.0,0.42857142857142855,0.5714285714285714,1.0,0.9299999999999999,35,0,3.146834373474121,0.3,0.17799587582058632,10.0,-5.508065064061391
2.0,0.5,3,AFL-CV (eps=1e-10),adaptive_flipped_lasso_cv,True,6.263592036856539,0.9318096570352112,0.7272727272727273,1.0,0.42857142857142855,0.5714285714285714,1.0,0.9299999999999999,35,0,3.0096373558044434,0.3,0.1779957857790302,10.0,-5.508066984176109
2.0,0.5,4,AFL-CV (eps=1e-5),adaptive_flipped_lasso_cv,True,5.3184367227142575,0.9152259081264973,0.851063829787234,1.0,0.25925925925925924,0.7407407407407407,1.0,0.946,27,0,3.020517587661743,1.0,0.06687761489875799,10.0,-5.291735425815643
2.0,0.5,4,AFL-CV (eps=1e-10),adaptive_flipped_lasso_cv,True,5.318443456857639,0.9152258007865177,0.851063829787234,1.0,0.25925925925925924,0.7407407407407407,1.0,0.946,27,0,3.006770610809326,1.0,0.06687761489875799,10.0,-5.291735021568963
10.0,0.1,0,AFL-CV (eps=1e-5),adaptive_flipped_lasso_cv,True,102.9580932595598,0.44659462252870274,0.30188679245283023,0.4,0.7575757575757576,0.24242424242424243,0.4,0.9339999999999999,33,0,6.024433851242065,0.3,0.8715464061516163,10.0,-122.55987750904117
10.0,0.1,0,AFL-CV (eps=1e-10),adaptive_flipped_lasso_cv,True,102.95807697104917,0.4465947100803376,0.30188679245283023,0.4,0.7575757575757576,0.24242424242424243,0.4,0.9339999999999999,33,0,5.9182448387146,0.3,0.8715455087500441,10.0,-122.55990062736971
