sigma,snr,repeat,lambda_ridge,lambda_,gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0.5,2.0,4,1.0,1.0,0.5,1.6691168302656794,0.9727113614323578,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.010895967483520508
0.5,2.0,0,1.0,1.0,0.5,1.2145335046793018,0.9875250259385119,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.011499166488647461
0.5,2.0,1,1.0,1.0,0.5,0.7129149698485968,0.9909915335706049,1.0,1.0,0.0,1.0,1.0,0.96,20,1,0.011562824249267578
0.5,2.0,2,1.0,1.0,0.5,1.9098998805421592,0.9716817501392345,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,0.011915922164916992
0.5,2.0,3,1.0,1.0,0.5,0.883152167818637,0.989253104160644,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,3,0.011279582977294922
0.5,2.0,4,1.0,1.0,0.5,1.6691168302656794,0.9727113614323578,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.010961771011352539
0.5,2.0,0,1.0,1.0,0.5,1.2145335046793018,0.9875250259385119,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.011486053466796875
0.5,2.0,1,1.0,1.0,0.5,0.7129149698485968,0.9909915335706049,1.0,1.0,0.0,1.0,1.0,0.96,20,1,0.011260271072387695
0.5,2.0,2,1.0,1.0,0.5,1.9098998805421592,0.9716817501392345,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,0.011749029159545898
0.5,2.0,3,1.0,1.0,0.5,0.883152167818637,0.989253104160644,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,3,0.011259794235229492
0.5,2.0,4,1.0,1.0,0.5,1.6691168302656794,0.9727113614323578,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.010938644409179688
0.7,1.4285714285714286,0,1.0,1.0,0.5,1.5851091695129778,0.9837646595057221,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.011538267135620117
0.7,1.4285714285714286,1,1.0,1.0,0.5,1.0680312320275387,0.9865439239626601,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,1,0.011698722839355469
0.7,1.4285714285714286,2,1.0,1.0,0.5,2.4051497914900875,0.9645417890244228,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,0.011893272399902344
0.7,1.4285714285714286,3,1.0,1.0,0.5,1.3353012757298106,0.9839320643210593,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,3,0.011278390884399414
0.7,1.4285714285714286,4,1.0,1.0,0.5,1.893855462358219,0.9689992988409525,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.011132955551147461
0.7,1.4285714285714286,0,1.0,1.0,0.5,1.5851091695129778,0.9837646595057221,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.011595964431762695
0.7,1.4285714285714286,1,1.0,1.0,0.5,1.0680312320275387,0.9865439239626601,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,1,0.01140451431274414
0.7,1.4285714285714286,2,1.0,1.0,0.5,2.4051497914900875,0.9645417890244228,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,0.011797666549682617
0.7,1.4285714285714286,3,1.0,1.0,0.5,1.3353012757298106,0.9839320643210593,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,3,0.011277914047241211
0.7,1.4285714285714286,4,1.0,1.0,0.5,1.893855462358219,0.9689992988409525,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.012232303619384766
0.7,1.4285714285714286,0,1.0,1.0,0.5,1.5851091695129778,0.9837646595057221,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.011456489562988281
0.7,1.4285714285714286,1,1.0,1.0,0.5,1.0680312320275387,0.9865439239626601,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,1,0.011931896209716797
0.7,1.4285714285714286,2,1.0,1.0,0.5,2.4051497914900875,0.9645417890244228,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,0.011847972869873047
0.7,1.4285714285714286,3,1.0,1.0,0.5,1.3353012757298106,0.9839320643210593,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,3,0.011224985122680664
0.7,1.4285714285714286,4,1.0,1.0,0.5,1.893855462358219,0.9689992988409525,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.011182069778442383
0.7,1.4285714285714286,0,1.0,1.0,0.5,1.5851091695129778,0.9837646595057221,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.011567831039428711
0.7,1.4285714285714286,1,1.0,1.0,0.5,1.0680312320275387,0.9865439239626601,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,1,0.01153564453125
0.7,1.4285714285714286,2,1.0,1.0,0.5,2.4051497914900875,0.9645417890244228,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,0.011817455291748047
0.7,1.4285714285714286,3,1.0,1.0,0.5,1.3353012757298106,0.9839320643210593,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,3,0.011251688003540039
0.7,1.4285714285714286,4,1.0,1.0,0.5,1.893855462358219,0.9689992988409525,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.011089324951171875
0.7,1.4285714285714286,0,1.0,1.0,0.5,1.5851091695129778,0.9837646595057221,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.011526823043823242
0.7,1.4285714285714286,1,1.0,1.0,0.5,1.0680312320275387,0.9865439239626601,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,1,0.011734724044799805
0.7,1.4285714285714286,2,1.0,1.0,0.5,2.4051497914900875,0.9645417890244228,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,0.01158595085144043
0.7,1.4285714285714286,3,1.0,1.0,0.5,1.3353012757298106,0.9839320643210593,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,3,0.011238813400268555
0.7,1.4285714285714286,4,1.0,1.0,0.5,1.893855462358219,0.9689992988409525,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.011095285415649414
1.0,1.0,0,1.0,1.0,0.5,2.4415770560784003,0.9751303806444066,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,0.01167917251586914
1.0,1.0,1,1.0,1.0,0.5,1.7330575243768467,0.9782983478660492,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,1,0.011459112167358398
1.0,1.0,2,1.0,1.0,0.5,3.351172160101481,0.951101603869486,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,2,0.011777639389038086
1.0,1.0,3,1.0,1.0,0.5,2.3025509578241583,0.972816081256011,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,3,0.011148214340209961
1.0,1.0,4,1.0,1.0,0.5,2.4958280335366876,0.9591803431961419,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,4,0.012110233306884766
1.0,1.0,0,1.0,1.0,0.5,2.4415770560784003,0.9751303806444066,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,0.01162576675415039
1.0,1.0,1,1.0,1.0,0.5,1.7330575243768467,0.9782983478660492,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,1,0.013212203979492188
1.0,1.0,2,1.0,1.0,0.5,3.351172160101481,0.951101603869486,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,2,0.011813163757324219
1.0,1.0,3,1.0,1.0,0.5,2.3025509578241583,0.972816081256011,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,3,0.011112689971923828
1.0,1.0,4,1.0,1.0,0.5,2.4958280335366876,0.9591803431961419,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,4,0.012054443359375
1.0,1.0,0,1.0,1.0,0.5,2.4415770560784003,0.9751303806444066,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,0.011614084243774414
