mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,repeat,method,sigma,snr,train_time,best_gamma,best_alpha,best_lambda_ridge
37.52910289584387,0.8272740004217902,0.33333333333333337,0.6,0.7692307692307693,0.23076923076923078,0.6,0.896,52,3,fixed_ridge,5.0,7.463724398214207,9.335389852523804,0.3,0.41966776090105307,10.0
37.62819464958828,0.8268179351046159,0.33802816901408456,0.6,0.7647058823529411,0.23529411764705882,0.6,0.898,51,3,ridgecv,5.0,7.463724398214207,14.321614027023315,0.3,0.4282552417070331,100.0
33.88332525313811,0.8801307074776238,0.4477611940298508,0.75,0.6808510638297872,0.3191489361702128,0.75,0.906,47,4,fixed_ridge,5.0,7.6815001604235835,6.770739793777466,0.3,0.42237306170470307,10.0
33.7026051517055,0.8807700423286592,0.45454545454545453,0.75,0.6739130434782609,0.32608695652173914,0.75,0.908,46,4,ridgecv,5.0,7.6815001604235835,8.742985725402832,0.3,0.42866422192426745,100.0
93.30361018538568,0.6241726864550667,0.2608695652173913,0.3,0.7692307692307693,0.23076923076923078,0.3,0.948,26,0,fixed_ridge,10.0,2.211869274971492,17.33396816253662,0.3,0.9197932481385651,10.0
95.52918784278917,0.6152080507844249,0.3,0.3,0.7,0.3,0.3,0.96,20,0,ridgecv,10.0,2.211869274971492,21.400563955307007,0.7,0.9197932481385651,100.0
118.68652632396574,0.613270577899452,0.1348314606741573,0.3,0.9130434782608695,0.08695652173913043,0.3,0.862,69,1,fixed_ridge,10.0,1.9916799692754923,13.079615354537964,0.3,0.47310036261441063,10.0
119.22714427128464,0.6115090227101702,0.12903225806451613,0.3,0.9178082191780822,0.0821917808219178,0.3,0.854,73,1,ridgecv,10.0,1.9916799692754923,15.296927452087402,0.3,0.4577693828435013,100.0
101.31140325177452,0.6340635220389144,0.18867924528301888,0.25,0.8484848484848485,0.15151515151515152,0.25,0.9339999999999999,33,2,fixed_ridge,10.0,1.9776718439225738,14.917374610900879,0.3,1.0729345687441048,10.0
102.0290680542501,0.6314713189724748,0.16666666666666666,0.25,0.875,0.125,0.25,0.92,40,2,ridgecv,10.0,1.9776718439225738,18.744749069213867,0.3,0.8312663970713814,100.0
