sigma,snr,repeat,model,algo,use_cv,accuracy,f1,auc,tpr,fdr,precision,recall,sparsity,n_selected,selection_f1,selection_accuracy,fold,train_time,best_alpha,sign_accuracy,best_gamma,cv_score
3.0,0.33,3,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9333333333333333,0.9411764705882354,0.9897142857142858,0.5,0.0,1.0,0.5,0.98,10,0.6666666666666666,0.98,0,45.67787575721741,0.044565056199753025,1.0,,
3.0,0.33,4,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.95,0.9491525423728815,0.9911012235817576,0.65,0.0,1.0,0.65,0.974,13,0.787878787878788,0.986,0,36.301921129226685,0.005857133545743589,1.0,,
3.0,0.33,5,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.2,0.8,1.0,0.95,25,0.888888888888889,0.99,0,22.731812715530396,0.00016654221092360903,1.0,,
3.0,0.33,6,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,0.95,0.13636363636363635,0.8636363636363636,0.95,0.956,22,0.9047619047619048,0.992,0,20.629951238632202,0.00031750785050892107,1.0,,
3.0,0.33,7,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9333333333333333,0.9285714285714286,0.9865319865319866,0.6,0.07692307692307693,0.9230769230769231,0.6,0.974,13,0.7272727272727274,0.982,0,47.680408000946045,0.007641137656703843,1.0,,
3.0,0.33,8,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,0.95,0.0,1.0,0.95,0.962,19,0.9743589743589743,0.998,0,23.140156507492065,0.0009199285667113035,1.0,,
3.0,0.33,9,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,0.7,0.0,1.0,0.7,0.972,14,0.8235294117647058,0.988,0,33.125284910202026,0.010320372995923614,1.0,,
3.0,0.33,10,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9833333333333333,0.9818181818181818,0.9988776655443322,0.6,0.0,1.0,0.6,0.976,12,0.7499999999999999,0.984,0,33.74823760986328,0.009229315789393793,1.0,,
3.0,0.33,11,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0.9523809523809523,0.996,0,19.276342153549194,0.0004462069873094817,1.0,,
3.0,0.33,12,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9666666666666667,0.9743589743589743,0.9974999999999999,0.5,0.0,1.0,0.5,0.98,10,0.6666666666666666,0.98,0,35.975691080093384,0.013024740750602623,1.0,,
3.0,0.33,13,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9666666666666667,0.9615384615384615,0.9831649831649831,0.7,0.0,1.0,0.7,0.972,14,0.8235294117647058,0.988,0,31.345538854599,0.009121569361969933,1.0,,
3.0,0.33,14,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9666666666666667,0.96875,0.9854096520763188,0.85,0.0,1.0,0.85,0.966,17,0.9189189189189189,0.994,0,20.513798475265503,0.006914120572363966,1.0,,
3.0,0.33,15,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,19.57468271255493,0.0005071778073691136,1.0,,
3.0,0.33,16,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,0.95,0.17391304347826086,0.8260869565217391,0.95,0.954,23,0.8837209302325583,0.99,0,18.95015597343445,0.00040611176177006176,1.0,,
3.0,0.33,17,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9833333333333333,0.9841269841269841,1.0,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0.975609756097561,0.998,0,16.44055724143982,0.0004752430417913689,1.0,,
3.0,0.33,18,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,0.9,0.0,1.0,0.9,0.964,18,0.9473684210526316,0.996,0,21.266968727111816,0.0036812301935871096,1.0,,
3.0,0.33,19,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,0.95,0.05,0.95,0.95,0.96,20,0.9500000000000001,0.996,0,20.153802633285522,0.0008888614933856653,1.0,,
0.5,2.0,0,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.8666666666666667,0.870967741935484,0.9397321428571429,0.2,0.0,1.0,0.2,0.992,4,0.33333333333333337,0.968,0,2.9928691387176514,10.0,1.0,2.0,-0.9101832841411375
0.5,2.0,1,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9666666666666667,0.9722222222222222,0.9976498237367804,0.25,0.0,1.0,0.25,0.99,5,0.4,0.97,0,2.7398171424865723,10.0,1.0,2.0,-0.9670718567530162
0.5,2.0,2,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9166666666666666,0.8979591836734693,0.9988776655443322,0.2,0.0,1.0,0.2,0.992,4,0.33333333333333337,0.968,0,2.7264442443847656,10.0,1.0,2.0,-0.9397096345013012
0.5,2.0,3,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.8333333333333334,0.8437499999999999,0.9513888888888888,0.25,0.0,1.0,0.25,0.99,5,0.4,0.97,0,3.6326348781585693,10.0,1.0,2.0,-0.9521710159957614
0.5,2.0,4,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.8333333333333334,0.8,0.9788888888888889,0.25,0.0,1.0,0.25,0.99,5,0.4,0.97,0,3.813917636871338,10.0,1.0,2.0,-0.9223964730921252
0.5,2.0,5,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.8833333333333333,0.8727272727272727,0.9699666295884316,0.3,0.0,1.0,0.3,0.988,6,0.4615384615384615,0.972,0,3.675435781478882,10.0,1.0,2.0,-0.955057391394561
0.5,2.0,6,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9166666666666666,0.923076923076923,0.9862857142857143,0.15,0.0,1.0,0.15,0.994,3,0.2608695652173913,0.966,0,3.6372172832489014,10.0,1.0,2.0,-0.9609224976077648
0.5,2.0,7,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.8833333333333333,0.8571428571428572,0.9685746352413019,0.15,0.0,1.0,0.15,0.994,3,0.2608695652173913,0.966,0,3.8457698822021484,10.0,1.0,2.0,-0.9470005260440043
0.5,2.0,8,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.95,0.9411764705882353,0.9955106621773289,0.2,0.0,1.0,0.2,0.992,4,0.33333333333333337,0.968,0,3.684382438659668,10.0,1.0,2.0,-0.9486970324361629
0.5,2.0,9,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9166666666666666,0.888888888888889,0.9485714285714285,0.2,0.0,1.0,0.2,0.992,4,0.33333333333333337,0.968,0,3.6235387325286865,10.0,1.0,2.0,-0.960234220392457
0.5,2.0,10,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9333333333333333,0.9166666666666666,0.997737556561086,0.2,0.0,1.0,0.2,0.992,4,0.33333333333333337,0.968,0,3.6308469772338867,10.0,1.0,2.0,-0.9497343287349613
0.5,2.0,11,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.85,0.8474576271186441,0.997737556561086,0.3,0.0,1.0,0.3,0.988,6,0.4615384615384615,0.972,0,3.641310691833496,10.0,1.0,2.0,-0.9588287483052731
0.5,2.0,12,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9166666666666666,0.9315068493150686,0.9914529914529915,0.2,0.0,1.0,0.2,0.992,4,0.33333333333333337,0.968,0,3.6836788654327393,10.0,1.0,2.0,-0.977485555548169
0.5,2.0,13,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9333333333333333,0.9090909090909091,0.9895833333333333,0.2,0.0,1.0,0.2,0.992,4,0.33333333333333337,0.968,0,3.994572877883911,10.0,1.0,2.0,-0.9107860046526504
0.5,2.0,14,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9166666666666666,0.8979591836734693,0.9921436588103255,0.2,0.0,1.0,0.2,0.992,4,0.33333333333333337,0.968,0,3.6671948432922363,10.0,1.0,2.0,-0.9494740873056091
0.5,2.0,15,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.8666666666666667,0.8400000000000001,0.9944382647385984,0.3,0.0,1.0,0.3,0.988,6,0.4615384615384615,0.972,0,3.6538028717041016,10.0,1.0,2.0,-0.9012839637859988
0.5,2.0,16,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9333333333333333,0.923076923076923,0.9810267857142857,0.15,0.0,1.0,0.15,0.994,3,0.2608695652173913,0.966,0,2.695124626159668,10.0,1.0,2.0,-0.958584617744038
0.5,2.0,17,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9166666666666666,0.9152542372881356,0.9888765294771968,0.25,0.0,1.0,0.25,0.99,5,0.4,0.97,0,2.757579803466797,10.0,1.0,2.0,-0.9657456274267868
0.5,2.0,18,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9166666666666666,0.8936170212765957,1.0,0.4,0.0,1.0,0.4,0.984,8,0.5714285714285715,0.976,0,2.6748132705688477,10.0,1.0,2.0,-0.9503906817150636
0.5,2.0,19,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9,0.888888888888889,0.9688542825361512,0.2,0.0,1.0,0.2,0.992,4,0.33333333333333337,0.968,0,2.738415479660034,10.0,1.0,2.0,-0.9668254662004662
1.0,1.0,0,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9333333333333333,0.9285714285714286,0.9911111111111112,0.3,0.0,1.0,0.3,0.988,6,0.4615384615384615,0.972,0,3.0184249877929688,10.0,1.0,2.0,-0.9038375603864734
1.0,1.0,1,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9,0.9090909090909091,0.9861111111111112,0.15,0.0,1.0,0.15,0.994,3,0.2608695652173913,0.966,0,2.770221710205078,10.0,1.0,2.0,-0.9694828558451747
1.0,1.0,2,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.9333333333333333,0.92,1.0,0.25,0.0,1.0,0.25,0.99,5,0.4,0.97,0,2.747103214263916,10.0,1.0,2.0,-0.9141960841091276
